"osm_id","name","ref","highway","aadt","roadtype","road_importance","urban"
"1881893","Maple Drive",NA,"residential",NA,"minor",5,1
"1881894","Birch Gardens",NA,"residential",NA,"minor",2,1
"1881895","The Willows",NA,"residential",NA,"minor",4,1
"1881896","The Limes",NA,"residential",NA,"minor",3,1
"1881897","Aspen Close",NA,"residential",NA,"minor",3,1
"1881898","Whitepit Lane","B3401","secondary",NA,"minor",4,1
"1881898","Whitepit Lane","B3401","secondary",NA,"minor",4,0
"1881899","Cedar Hill","B3401","secondary",NA,"minor",2,1
"1881899","Cedar Hill","B3401","secondary",NA,"minor",2,0
"1881901","Castle Lane",NA,"residential",NA,"minor",4,0
"1881902","Spring Lane",NA,"residential",NA,"minor",4,0
"1881904","Marvel Lane",NA,"unclassified",NA,"minor",5,0
"1881906","Clatterford Road","B3323","secondary",12343,"minor",1,1
"1890205","Elm Lane",NA,"tertiary",NA,"minor",1,0
"1890314","Pound Lane",NA,"unclassified",NA,"minor",5,0
"1890367","Main Road (Newbridge)","B3401","secondary",NA,"minor",2,0
"1890498","Town Lane",NA,"unclassified",NA,"minor",5,0
"1890499","Corf Road",NA,"tertiary",NA,"minor",1,0
"1890500","Colemans Lane",NA,"unclassified",NA,"minor",2,0
"1890501","Whitehouse Road",NA,"tertiary",NA,"minor",5,0
"1890530","Betty Haunt Lane",NA,"unclassified",NA,"minor",1,0
"1892138","Parkhurst Road","A3020","primary",20971,"major",2,0
"1892290",NA,"A3020","primary",20971,"major",1,1
"1892291","Parkhurst Road",NA,"primary",NA,"major",1,0
"1892293","Lonsdale Avenue",NA,"residential",NA,"minor",4,1
"1892295","Nicholson Street",NA,"residential",NA,"minor",4,1
"1892296","Prior Crescent",NA,"residential",NA,"minor",5,1
"1892297","Hogan Close",NA,"residential",NA,"minor",4,1
"1892298","Rooke Street",NA,"residential",NA,"minor",3,1
"1892346","Horsebridge Hill","A3020","primary",19325,"major",4,1
"1906907","Prince Street",NA,"residential",NA,"minor",5,1
"1908196","Pound Mead",NA,"residential",NA,"minor",5,1
"1908197","Corbett Road",NA,"residential",NA,"minor",5,1
"1908199","Colenutt's Road",NA,"residential",NA,"minor",5,1
